DOLocationID,month,time,day_of_the_week,num_pickups
239,1,14,1,2173
142,1,16,0,2358
144,1,7,4,188
48,1,20,0,2045
249,1,22,3,1370
164,1,0,2,501
249,1,19,1,1946
233,1,19,3,884
48,1,13,0,1501
48,1,13,6,1993
231,1,17,5,971
68,1,8,0,1233
230,1,12,1,2211
229,1,5,6,89
68,1,17,0,1547
246,1,21,3,937
249,1,2,1,144
41,1,15,6,460
163,1,1,4,290
229,1,8,2,1289
164,1,7,4,1030
107,1,13,5,1188
236,1,12,1,3923
231,1,23,2,881
162,1,17,6,1369
237,1,13,2,3961
161,1,9,4,4228
229,1,13,5,1039
116,1,0,0,311
137,1,22,2,1392
239,1,7,1,875
141,1,13,5,1747
231,1,21,4,957
100,1,17,5,1026
239,1,14,1,2173
229,1,10,0,1016
237,1,9,5,1920
230,1,9,5,1057
239,1,10,5,2016
211,1,17,4,570
230,1,19,2,2606
148,1,23,0,457
262,1,11,4,654
236,1,17,6,2456
163,1,6,1,1532
68,1,15,5,1573
140,1,0,0,505
237,1,12,1,4192
125,1,0,6,361
263,1,22,1,1550
230,1,8,2,3191
162,1,14,4,2119
233,1,10,4,958
74,1,19,4,616
141,1,15,1,2033
13,1,13,5,589
158,1,19,6,542
232,1,1,3,108
170,1,23,2,1620
249,1,22,0,1099
90,1,22,5,1134
125,1,12,5,240
237,1,8,0,2380
140,1,15,2,1768
125,1,17,2,351
230,1,14,6,2653
151,1,8,2,389
107,1,10,1,1284
141,1,17,0,2318
236,1,19,6,1858
186,1,19,4,1818
170,1,6,6,217
230,1,12,3,1641
50,1,10,2,958
141,1,23,5,1756
237,1,10,3,2539
262,1,20,2,1818
107,1,12,0,1154
238,1,9,0,836
230,1,19,3,1626
48,1,9,0,1033
13,1,23,1,330
231,2,8,1,1662
140,2,3,5,253
143,2,11,1,610
262,2,16,1,959
144,2,22,5,711
246,2,1,1,126
229,2,0,5,894
262,2,21,4,1140
162,2,9,3,3939
100,2,15,5,1146
4,2,18,4,664
238,2,16,1,1725
141,2,18,2,2571
234,2,8,4,2600
68,2,0,5,1574
211,2,15,6,733
246,2,16,1,944
186,2,18,3,2036
48,2,7,2,903
166,2,9,6,473
237,2,8,3,2857
236,2,13,6,2973
162,2,12,3,2403
186,2,13,6,1923
224,2,23,5,385
161,2,22,0,920
164,2,18,5,1765
90,2,20,4,1252
236,2,11,3,2928
232,2,20,3,447
170,2,12,5,1623
230,2,7,0,2371
230,2,13,2,2469
232,2,21,5,383
143,2,15,2,1086
100,2,11,6,1018
161,2,11,5,1997
68,2,9,1,1470
143,2,8,4,697
107,2,2,5,1180
186,2,4,6,421
113,2,14,1,974
170,2,18,5,2195
234,2,15,2,1931
237,2,21,0,1525
246,2,21,3,1273
158,2,1,6,718
163,2,18,0,1671
88,2,12,3,250
87,2,2,6,803
114,2,17,5,995
114,2,9,5,434
211,2,22,0,354
107,2,7,2,1206
262,2,23,3,765
161,2,7,1,5839
249,2,1,4,498
75,2,9,4,819
231,2,11,1,979
186,2,16,3,2176
231,2,21,3,1331
41,2,18,5,607
107,2,9,6,648
162,2,19,0,1524
236,2,19,4,2993
163,2,11,6,1343
230,2,0,0,482
100,2,17,3,1128
13,2,11,0,585
230,2,12,6,2219
161,2,7,4,5481
236,2,12,0,2835
224,2,0,5,370
237,2,14,3,3487
107,2,23,3,1424
79,2,21,5,2700
234,2,14,1,2059
113,2,22,2,1043
229,2,23,3,1115
233,2,1,3,207
229,2,17,5,1490
162,2,19,0,1524
237,2,14,5,2975
162,2,22,1,1244
142,2,18,5,2989
236,2,18,5,2497
246,2,17,0,1078
137,2,10,0,675
100,2,17,0,1131
13,2,16,6,512
161,2,7,1,5839
140,2,7,4,1670
239,2,11,1,1338
151,2,14,2,526
158,2,9,0,445
48,2,15,0,1517
236,2,22,3,2302
162,2,9,1,3779
68,2,13,3,1229
79,2,18,3,2332
231,2,11,4,1105
238,2,23,3,1154
162,2,15,0,1945
236,2,9,6,1933
237,2,15,4,3493
90,2,14,1,881
50,2,22,6,631
148,2,22,3,1172
137,2,9,4,809
186,2,15,1,2117
238,2,22,5,1623
262,2,7,1,493
162,2,9,4,3680
170,2,8,4,2845
170,2,16,6,1763
45,2,12,2,170
107,2,8,2,1534
75,2,23,5,690
263,2,15,3,1429
170,2,19,1,2277
161,2,11,3,3471
239,2,10,2,1256
234,2,0,0,311
140,2,9,5,711
162,2,18,6,1130
161,2,1,2,165
68,2,16,0,1315
249,2,18,1,1568
50,2,2,5,421
45,2,9,2,242
68,2,15,0,1337
170,2,21,5,2085
237,2,8,2,2914
186,2,13,1,1708
48,2,23,1,1421
231,2,13,5,1124
170,2,5,0,309
237,2,13,1,3065
236,2,13,5,3109
148,2,13,5,918
140,2,10,3,1361
4,2,2,5,360
100,2,10,4,1147
246,2,15,6,1186
231,2,10,6,818
107,2,23,4,1759
236,2,11,5,2739
234,2,18,1,2409
161,2,19,0,1524
114,2,17,1,741
170,2,10,5,1436
170,2,19,1,2277
68,2,14,4,1463
114,2,19,5,1389
107,2,18,2,1889
239,2,16,2,1973
141,2,0,5,1153
230,2,12,1,1869
239,2,8,0,1121
246,2,10,1,2084
48,2,21,2,2329
229,2,16,5,1233
113,2,8,0,692
148,2,18,4,1178
229,2,13,3,1044
43,2,10,5,1275
141,2,13,1,1372
125,2,13,1,381
162,2,13,3,2501
246,2,9,6,1898
186,2,7,4,1181
142,2,12,5,2629
161,2,12,3,3526
186,2,15,4,2135
202,2,23,2,50
79,2,4,6,748
87,2,15,3,385
238,2,15,1,1734
43,2,20,4,496
107,2,15,4,1208
158,2,14,6,650
231,2,15,6,901
107,2,21,5,1706
50,2,7,1,612
137,2,0,2,371
162,2,12,3,2403
246,2,17,3,1309
164,2,13,4,1548
238,2,17,1,1861
234,2,20,0,1492
164,2,8,3,1846
236,2,17,4,3451
249,2,15,0,819
231,2,15,5,1094
24,2,11,4,157
75,2,1,5,503
186,2,17,0,2077
79,2,20,0,1812
141,2,0,6,1282
48,2,17,2,2139
237,2,11,4,3293
236,2,17,2,3793
186,2,14,5,1810
170,2,22,4,2364
161,2,12,3,3526
233,2,14,2,893
249,2,20,5,1732
48,2,8,4,1031
161,2,7,0,4422
262,2,21,1,1349
237,2,19,1,2910
143,2,8,5,420
261,2,20,2,314
164,2,23,0,634
68,2,7,1,899
90,2,15,2,888
246,2,6,5,449
75,2,19,6,555
151,2,9,0,238
236,2,13,1,2977
249,2,1,5,1227
100,2,12,6,1010
237,2,12,2,3554
13,2,8,4,988
100,2,13,2,1267
68,2,14,0,1311
141,2,0,5,1153
162,2,13,3,2501
246,2,21,2,1115
237,2,13,5,3054
79,2,0,1,646
68,2,16,5,1531
75,2,8,2,1032
170,2,18,2,2279
158,2,18,1,880
170,2,16,0,1843
48,2,23,1,1421
164,2,1,0,263
244,2,15,4,133
141,2,15,1,1765
170,2,11,6,1387
141,2,18,5,2182
143,2,14,3,1002
232,2,20,4,520
148,2,19,3,1073
229,2,21,5,1500
4,2,17,6,380
232,2,18,2,442
243,2,22,2,270
261,2,12,5,336
140,2,21,0,956
142,2,21,0,1410
113,2,10,4,998
41,2,0,4,351
164,2,2,6,818
90,2,17,2,1053
43,2,8,4,776
230,2,0,1,476
87,2,16,4,350
140,2,6,4,1228
162,2,12,4,2176
90,2,7,3,634
142,2,10,0,1328
237,2,22,4,1510
161,2,12,2,3506
141,2,21,3,2504
246,2,22,2,995
