[INFO] 2023-07-19 14:54:40,214  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 14:54:40,262  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 14:54:51,744  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 14:54:51,745  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 14:55:03,431  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 14:55:03,435  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:03:21,882  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:03:21,901  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:03:35,877  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:03:35,910  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:04:31,145  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/4' | 200
[INFO] 2023-07-19 15:04:31,151  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/4' | 200
[INFO] 2023-07-19 15:04:58,875  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:04:58,896  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:05:28,167  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:05:28,189  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:05:41,164  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:05:41,168  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:06:06,538  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:06:06,777  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:06:24,110  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:06:24,112  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:06:39,931  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/7' | 200
[INFO] 2023-07-19 15:06:39,998  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/7' | 200
[INFO] 2023-07-19 15:06:51,203  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/6' | 200
[INFO] 2023-07-19 15:06:51,236  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/6' | 200
[INFO] 2023-07-19 15:06:59,780  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 15:06:59,791  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 15:07:18,923  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:07:18,925  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:07:29,095  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:07:29,102  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:07:36,773  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:07:36,823  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:07:48,060  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
