"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-25","1.9","0.5","0.0","0.0",,"15.6","6.7","  240","  240","8.1","13.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-26","2.7","0.0","0.0","0.0",,"11.7","5.6","  270","  290","6.3","10.3",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-27","4.7","0.0","0.0","0.0",,"7.8","-2.1","  310","  310","9.4","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-28","5.5","0.0","0.0","0.0",,"0.6","-4.9","  270","  300","10.3","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-29","4.7","0.0","0.0","0.0",,"3.3","-4.3","  310","  300","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-30","2.1","0.0","0.0","0.0",,"8.3","-1.6","  160","  150","5.4","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-31","2.2","1.8","0.0","0.0",,"18.9","7.2","  210","  200","6.3","12.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-01","3.9","7.1","0.0","0.0",,"16.1","6.1","  280","  290","9.8","15.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-02","2.8","0.0","0.0","0.0",,"12.2","3.3","  300","  300","8.9","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-03","1.8","3.0","0.0","0.0",,"8.9","4.4","  300","  290","6.3","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-04","3.0","0.0","0.0","0.0",,"12.2","3.9","  310","  310","7.2","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-05","1.5","1.0","0.0","0.0",,"13.9","7.2","  150","  170","5.8","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-06","4.8","11.4","0.0","0.0",,"11.7","6.7","   80","   40","9.8","16.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-07","3.3","28.4","0.0","0.0",,"12.2","7.2","  120","  120","8.1","13.9","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-08","3.0","0.8","0.0","0.0",,"18.3","9.4","  240","  230","6.7","10.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-09","2.2","1.3","0.0","0.0",,"12.8","8.3","  280","  220","7.6","12.5",,,,,,"    1"
